Date,Model,EECU (hours),Completed,EECU (hours/task)
2026-01-18,eeMETRIC,5.7,70,0.08142857142857143
2026-01-17,PT-JPL,0.5,120,0.004166666666666667
2026-01-17,SIMS,0.2,157,0.0012738853503184715
2026-01-17,SSEBop,1.5,167,0.008982035928143712
2026-01-17,eeMETRIC,5.7,151,0.03774834437086093
2026-01-16,PT-JPL,0.5,22,0.022727272727272728
2026-01-16,SIMS,0.2,71,0.0028169014084507044
2026-01-16,SSEBop,1.6,62,0.025806451612903226
2026-01-16,eeMETRIC,5.8,65,0.08923076923076922
2026-01-15,PT-JPL,0.6,13,0.04615384615384615
2026-01-15,SIMS,0.2,50,0.004
2026-01-15,SSEBop,1.5,40,0.0375
2026-01-15,eeMETRIC,6.0,51,0.11764705882352941
2026-01-14,PT-JPL,0.5,6,0.08333333333333333
2026-01-14,SIMS,0.2,44,0.004545454545454546
2026-01-14,SSEBop,1.5,45,0.03333333333333333
2026-01-14,eeMETRIC,5.4,33,0.16363636363636364
2026-01-13,PT-JPL,0.4,9,0.044444444444444446
2026-01-13,SIMS,0.2,63,0.0031746031746031746
2026-01-13,SSEBop,1.5,60,0.025
2026-01-13,eeMETRIC,5.7,42,0.13571428571428573
2026-01-12,PT-JPL,0.6,20,0.03
2026-01-12,SIMS,0.2,59,0.0033898305084745766
2026-01-12,SSEBop,1.5,60,0.025
2026-01-12,eeMETRIC,5.8,68,0.08529411764705883
2026-01-11,PT-JPL,0.5,17,0.029411764705882353
2026-01-11,SIMS,0.2,39,0.005128205128205128
2026-01-11,SSEBop,1.5,57,0.02631578947368421
2026-01-11,eeMETRIC,5.5,55,0.1
2026-01-10,PT-JPL,0.6,17,0.03529411764705882
2026-01-10,SIMS,0.2,61,0.003278688524590164
2026-01-10,SSEBop,1.6,59,0.027118644067796613
2026-01-10,eeMETRIC,5.9,57,0.10350877192982456
2026-01-09,PT-JPL,0.5,215,0.002325581395348837
2026-01-09,SIMS,0.2,265,0.0007547169811320755
2026-01-09,SSEBop,1.5,265,0.005660377358490566
2026-01-09,eeMETRIC,5.7,251,0.022709163346613548
2026-01-08,PT-JPL,0.6,13,0.04615384615384615
2026-01-08,SIMS,0.2,61,0.003278688524590164
2026-01-08,SSEBop,1.6,57,0.028070175438596492
2026-01-08,eeMETRIC,5.5,56,0.09821428571428571
2026-01-07,PT-JPL,0.5,47,0.010638297872340425
2026-01-07,SIMS,0.2,95,0.002105263157894737
2026-01-07,SSEBop,1.6,99,0.01616161616161616
2026-01-07,eeMETRIC,5.9,89,0.06629213483146068
2026-01-06,PT-JPL,0.6,16,0.0375
2026-01-06,SIMS,0.2,50,0.004
2026-01-06,SSEBop,1.7,54,0.03148148148148148
2026-01-06,eeMETRIC,5.9,65,0.09076923076923077
2026-01-05,PT-JPL,0.6,32,0.01875
2026-01-05,SIMS,0.2,52,0.0038461538461538464
2026-01-05,SSEBop,1.5,61,0.02459016393442623
2026-01-05,eeMETRIC,5.6,68,0.08235294117647059
2026-01-04,PT-JPL,0.5,16,0.03125
2026-01-04,SIMS,0.2,64,0.003125
2026-01-04,SSEBop,1.5,65,0.023076923076923078
2026-01-04,eeMETRIC,5.8,55,0.10545454545454545
2026-01-03,PT-JPL,0.5,20,0.025
2026-01-03,SIMS,0.2,56,0.0035714285714285718
2026-01-03,SSEBop,1.6,57,0.028070175438596492
2026-01-03,eeMETRIC,5.9,66,0.0893939393939394
2026-01-02,PT-JPL,0.4,8,0.05
2026-01-02,SIMS,0.2,51,0.00392156862745098
2026-01-02,SSEBop,1.5,46,0.03260869565217391
2026-01-02,eeMETRIC,5.4,44,0.12272727272727274
2026-01-01,PT-JPL,0.5,16,0.03125
2026-01-01,SIMS,0.2,57,0.0035087719298245615
2026-01-01,SSEBop,1.6,55,0.02909090909090909
2026-01-01,eeMETRIC,5.2,51,0.10196078431372549
2025-12-31,PT-JPL,0.6,14,0.04285714285714286
2025-12-31,SIMS,0.2,60,0.0033333333333333335
2025-12-31,SSEBop,1.7,49,0.03469387755102041
2025-12-31,eeMETRIC,5.9,51,0.11568627450980393
2025-12-30,PT-JPL,0.6,26,0.023076923076923075
2025-12-30,SIMS,0.2,41,0.004878048780487805
2025-12-30,SSEBop,1.7,52,0.032692307692307694
2025-12-30,eeMETRIC,6.0,58,0.10344827586206896
2025-12-29,PT-JPL,0.4,12,0.03333333333333333
2025-12-29,SIMS,0.2,27,0.007407407407407408
2025-12-29,SSEBop,1.3,12,0.10833333333333334
2025-12-29,eeMETRIC,5.6,36,0.15555555555555556
2025-12-28,PT-JPL,0.6,16,0.0375
2025-12-28,SIMS,0.2,51,0.00392156862745098
2025-12-28,SSEBop,1.7,43,0.03953488372093023
2025-12-28,eeMETRIC,6.1,16,0.38125
2025-12-27,PT-JPL,0.5,81,0.006172839506172839
2025-12-27,SIMS,0.2,101,0.0019801980198019802
2025-12-27,SSEBop,1.6,107,0.014953271028037384
2025-12-27,eeMETRIC,5.8,106,0.05471698113207547
2025-12-26,PT-JPL,0.5,75,0.006666666666666667
2025-12-26,SIMS,0.2,95,0.002105263157894737
2025-12-26,SSEBop,1.5,98,0.015306122448979591
2025-12-26,eeMETRIC,5.7,99,0.05757575757575758
2025-12-25,PT-JPL,0.6,13,0.04615384615384615
2025-12-25,SIMS,0.2,40,0.005
2025-12-25,SSEBop,1.6,35,0.045714285714285714
2025-12-25,eeMETRIC,5.8,32,0.18125
2025-12-24,PT-JPL,0.5,11,0.045454545454545456
2025-12-24,SIMS,0.2,43,0.004651162790697674
2025-12-24,SSEBop,1.4,38,0.03684210526315789
2025-12-24,eeMETRIC,5.8,33,0.17575757575757575
2025-12-23,PT-JPL,0.6,11,0.05454545454545454
2025-12-23,SIMS,0.2,35,0.005714285714285714
2025-12-23,SSEBop,1.6,34,0.047058823529411764
2025-12-23,eeMETRIC,5.8,36,0.1611111111111111
2025-12-22,PT-JPL,0.5,11,0.045454545454545456
2025-12-22,SIMS,0.2,50,0.004
2025-12-22,SSEBop,1.6,51,0.03137254901960784
2025-12-22,eeMETRIC,5.7,32,0.178125
2025-12-21,PT-JPL,0.5,21,0.023809523809523808
2025-12-21,SIMS,0.2,58,0.003448275862068966
2025-12-21,SSEBop,1.6,70,0.022857142857142857
2025-12-21,eeMETRIC,5.5,60,0.09166666666666666
2025-12-20,PT-JPL,0.6,78,0.007692307692307692
2025-12-20,SIMS,0.2,108,0.001851851851851852
2025-12-20,SSEBop,1.5,123,0.012195121951219513
2025-12-20,eeMETRIC,6.0,125,0.048
2025-12-19,PT-JPL,0.5,55,0.00909090909090909
2025-12-19,SIMS,0.2,98,0.0020408163265306124
2025-12-19,SSEBop,1.5,96,0.015625
2025-12-19,eeMETRIC,5.6,95,0.05894736842105263
2025-12-18,PT-JPL,0.5,70,0.007142857142857143
2025-12-18,SIMS,0.2,106,0.0018867924528301887
2025-12-18,SSEBop,1.5,106,0.014150943396226415
2025-12-18,eeMETRIC,5.8,98,0.05918367346938775
2025-12-17,PT-JPL,0.5,28,0.017857142857142856
2025-12-17,SIMS,0.2,67,0.0029850746268656717
2025-12-17,SSEBop,1.2,65,0.01846153846153846
2025-12-17,eeMETRIC,5.4,48,0.1125
2025-12-16,PT-JPL,0.4,27,0.014814814814814815
2025-12-16,SIMS,0.2,75,0.002666666666666667
2025-12-16,SSEBop,1.4,73,0.01917808219178082
2025-12-16,eeMETRIC,5.6,50,0.11199999999999999
2025-12-15,PT-JPL,0.6,15,0.04
2025-12-15,SIMS,0.2,66,0.0030303030303030303
2025-12-15,SSEBop,1.6,65,0.024615384615384615
2025-12-15,eeMETRIC,5.8,54,0.10740740740740741
2025-12-14,DisALEXI,32.2,6,5.366666666666667
2025-12-14,PT-JPL,0.4,23,0.017391304347826087
2025-12-14,SIMS,0.2,80,0.0025
2025-12-14,SSEBop,1.4,73,0.01917808219178082
2025-12-14,eeMETRIC,5.4,56,0.09642857142857143
2025-12-13,DisALEXI,23.9,16,1.49375
2025-12-13,PT-JPL,0.5,87,0.005747126436781609
2025-12-13,SIMS,0.2,142,0.0014084507042253522
2025-12-13,SSEBop,1.4,159,0.00880503144654088
2025-12-13,eeMETRIC,5.5,121,0.045454545454545456
2025-12-12,DisALEXI,27.599999999999998,4,6.8999999999999995
2025-12-12,PT-JPL,0.5,94,0.005319148936170213
2025-12-12,SIMS,0.2,150,0.0013333333333333335
2025-12-12,SSEBop,1.3,126,0.010317460317460317
2025-12-12,eeMETRIC,5.5,125,0.044
2025-12-11,SIMS,0.2,42,0.004761904761904762
2025-12-11,SSEBop,1.5,44,0.03409090909090909
2025-12-11,eeMETRIC,5.7,45,0.12666666666666668
2025-12-10,PT-JPL,0.3,10,0.03
2025-12-10,SIMS,0.2,55,0.0036363636363636364
2025-12-10,SSEBop,1.2,54,0.022222222222222223
2025-12-10,eeMETRIC,5.5,41,0.13414634146341464
2025-12-09,PT-JPL,0.4,30,0.013333333333333334
2025-12-09,SIMS,0.2,58,0.003448275862068966
2025-12-09,SSEBop,1.4,78,0.017948717948717947
2025-12-09,eeMETRIC,5.6,60,0.09333333333333332
2025-12-08,PT-JPL,0.4,15,0.02666666666666667
