Date,Model,EECU (hours)
2025-03-21,SSEBop,1.1
2025-03-20,SSEBop,1.0
2025-03-19,SSEBop,1.1
2025-03-18,SSEBop,1.0
2025-03-17,SSEBop,0.8
2025-03-16,SSEBop,1.1
2025-03-15,SSEBop,1.2
2025-03-14,SSEBop,1.1
2025-03-13,SSEBop,1.0
2025-03-12,SSEBop,1.0
2025-03-11,SSEBop,0.9
2025-03-10,SSEBop,1.0
2025-03-09,SSEBop,1.1
2025-03-08,SSEBop,1.0
2025-03-07,SSEBop,1.1
2025-03-06,SSEBop,1.1
2025-03-05,SSEBop,1.1
2025-03-04,SSEBop,0.9
2025-03-03,SSEBop,0.9
2025-03-02,SSEBop,0.9
2025-03-01,SSEBop,1.0
2025-02-28,SSEBop,1.0
2025-02-27,SSEBop,1.0
2025-02-26,SSEBop,1.1
2025-02-25,SSEBop,1.1
2025-02-24,SSEBop,1.0
2025-02-23,SSEBop,1.0
2025-02-22,SSEBop,1.2
2025-02-21,SSEBop,1.0
2025-02-20,SSEBop,1.0
2025-02-19,SSEBop,1.0
2025-02-18,SSEBop,1.0
2025-02-17,SSEBop,0.9
2025-02-16,SSEBop,1.0
2025-02-15,SSEBop,1.0
2025-02-14,SSEBop,1.0
2025-02-13,SSEBop,1.0
2025-02-12,SSEBop,1.0
2025-02-11,SSEBop,1.0
2025-02-10,SSEBop,1.2
2025-02-09,SSEBop,1.1
2025-02-08,SSEBop,1.1
2025-02-07,SSEBop,1.1
2025-02-06,SSEBop,1.2
2025-02-05,SSEBop,1.2
2025-02-04,SSEBop,1.0
2025-02-03,SSEBop,1.1
2025-02-02,SSEBop,1.1
2025-02-01,SSEBop,1.0
2025-01-31,SSEBop,1.1
2025-01-30,SSEBop,1.1
2025-01-29,SSEBop,1.1
2025-01-28,SSEBop,1.0
2025-01-27,SSEBop,1.0
2025-01-26,SSEBop,1.0
2025-01-25,SSEBop,1.0
2025-01-24,SSEBop,1.0
2025-01-23,SSEBop,1.1
2025-01-22,SSEBop,1.0
2025-01-21,SSEBop,0.9
2025-01-20,SSEBop,1.0
2025-01-19,SSEBop,0.9
2025-01-18,SSEBop,0.9
2025-01-17,SSEBop,1.3
2025-01-16,SSEBop,1.0
2025-01-15,SSEBop,1.2
2025-01-14,SSEBop,1.0
2025-01-13,SSEBop,1.1
2025-01-12,SSEBop,1.0
2025-01-11,SSEBop,1.1
2025-01-10,SSEBop,1.2
2025-01-09,SSEBop,1.1
2025-01-08,SSEBop,1.1
2025-01-07,SSEBop,1.2
2025-01-06,SSEBop,1.1
2025-01-05,SSEBop,1.1
2025-01-04,SSEBop,1.1
2025-01-03,SSEBop,1.1
2025-01-02,SSEBop,1.1
2025-01-01,SSEBop,1.2
2024-12-31,SSEBop,1.3
2024-12-30,SSEBop,1.2
2024-12-29,SSEBop,1.2
2024-12-28,SSEBop,1.2
2024-12-27,SSEBop,1.4
2024-12-26,SSEBop,1.2
2024-12-25,SSEBop,1.1
2024-12-24,SSEBop,1.1
2024-12-23,SSEBop,1.2
2024-12-22,SSEBop,1.2
2024-12-21,SSEBop,1.2
2024-12-20,SSEBop,1.2
2024-12-19,SSEBop,1.1
2024-12-18,SSEBop,1.0
2024-12-17,SSEBop,1.1
2024-12-16,SSEBop,1.0
2024-12-15,SSEBop,1.1
2024-12-14,SSEBop,1.2
2024-12-13,SSEBop,1.2
2024-12-12,SSEBop,1.1
2024-12-11,SSEBop,1.1
2024-12-10,SSEBop,1.2
2024-12-09,SSEBop,1.0
2024-12-08,SSEBop,1.1
2024-12-07,SSEBop,1.1
2024-12-06,SSEBop,1.2
2024-12-05,SSEBop,1.2
2024-12-04,SSEBop,1.1
2024-12-03,SSEBop,1.3
2024-12-01,SSEBop,1.0
2024-11-30,SSEBop,1.0
2024-11-29,SSEBop,1.2
2024-11-28,SSEBop,1.2
2024-11-27,SSEBop,1.2
2024-11-26,SSEBop,1.1
2024-11-25,SSEBop,1.1
2024-11-24,SSEBop,1.1
2024-11-23,SSEBop,1.0
2024-11-22,SSEBop,1.1
2024-11-21,SSEBop,1.2
2024-11-20,SSEBop,1.2
2024-11-19,SSEBop,1.1
2024-11-18,SSEBop,1.1
2024-11-17,SSEBop,1.0
2024-11-16,SSEBop,1.0
2024-11-15,SSEBop,1.1
2024-11-14,SSEBop,1.1
2024-11-13,SSEBop,1.1
2024-11-12,SSEBop,1.1
2024-11-11,SSEBop,1.1
2024-11-10,SSEBop,1.1
2024-11-09,SSEBop,1.2
2024-11-08,SSEBop,1.0
2024-11-07,SSEBop,1.1
2024-11-06,SSEBop,1.1
2024-11-05,SSEBop,1.1
2024-11-04,SSEBop,1.0
2024-11-03,SSEBop,1.1
2024-11-02,SSEBop,1.1
2024-11-01,SSEBop,1.1
2024-10-31,SSEBop,1.1
2024-10-30,SSEBop,1.1
2024-10-29,SSEBop,1.1
2024-10-28,SSEBop,1.1
2024-10-27,SSEBop,1.0
2024-10-26,SSEBop,1.0
2024-10-25,SSEBop,1.0
2024-10-24,SSEBop,1.1
2024-10-23,SSEBop,1.1
2024-10-22,SSEBop,1.0
2024-10-21,SSEBop,1.2
2024-10-20,SSEBop,1.0
2024-10-19,SSEBop,1.1
2024-10-18,SSEBop,1.1
2024-10-17,SSEBop,1.1
2024-10-16,SSEBop,1.1
2024-10-15,SSEBop,1.0
2024-10-14,SSEBop,1.1
2024-10-13,SSEBop,1.1
2024-10-12,SSEBop,1.1
2024-10-11,SSEBop,1.2
2024-10-10,SSEBop,1.1
2024-10-09,SSEBop,1.0
2024-10-08,SSEBop,1.1
2024-10-07,SSEBop,1.2
2024-10-06,SSEBop,1.1
2024-10-05,SSEBop,1.2
2024-10-04,SSEBop,1.1
2024-10-03,SSEBop,1.0
2024-10-02,SSEBop,1.0
2024-10-01,SSEBop,1.0
2024-09-30,SSEBop,1.1
2024-09-29,SSEBop,1.2
2024-09-28,SSEBop,1.1
2024-09-27,SSEBop,1.1
2024-09-26,SSEBop,1.0
2024-09-25,SSEBop,1.1
2024-09-24,SSEBop,1.1
2024-09-23,SSEBop,1.3
2024-09-22,SSEBop,1.2
2024-09-21,SSEBop,1.2
2024-09-20,SSEBop,1.1
2024-09-19,SSEBop,1.2
2024-09-18,SSEBop,1.2
2024-09-17,SSEBop,1.3
2024-09-16,SSEBop,1.3
2024-09-14,SSEBop,1.2
2024-09-13,SSEBop,1.1
2024-09-12,SSEBop,1.2
2024-09-11,SSEBop,1.1
2024-09-10,SSEBop,1.2
2024-09-09,SSEBop,1.2
2024-09-08,SSEBop,1.1
2024-09-07,SSEBop,1.3
2024-09-06,SSEBop,1.2
2024-09-05,SSEBop,1.2
2024-09-04,SSEBop,1.1
2024-09-03,SSEBop,1.0
2024-09-02,SSEBop,1.2
2024-09-01,SSEBop,1.1
2024-08-31,SSEBop,1.2
2024-08-30,SSEBop,1.1
2024-08-29,SSEBop,1.0
2024-08-28,SSEBop,1.1
2024-08-27,SSEBop,1.1
2024-08-26,SSEBop,1.0
2024-08-25,SSEBop,1.1
2024-08-24,SSEBop,1.1
2024-08-23,SSEBop,1.0
2024-08-22,SSEBop,1.1
2024-08-21,SSEBop,1.3
2024-08-20,SSEBop,1.2
2024-08-19,SSEBop,1.2
2024-08-18,SSEBop,1.2
2024-08-17,SSEBop,1.3
2024-08-15,SSEBop,1.2
2024-08-14,SSEBop,1.3
2024-08-13,SSEBop,1.3
2024-08-12,SSEBop,1.2
2024-08-11,SSEBop,1.1
2024-08-10,SSEBop,1.3
2024-08-09,SSEBop,1.3
2024-08-08,SSEBop,1.2
2024-08-07,SSEBop,1.1
2024-08-06,SSEBop,1.2
2024-08-05,SSEBop,1.0
2024-08-04,SSEBop,1.3
2024-08-01,SSEBop,1.2
2024-07-31,SSEBop,1.3
2024-07-30,SSEBop,1.2
2024-07-29,SSEBop,1.2
2024-07-28,SSEBop,1.2
2024-07-27,SSEBop,1.5
2024-07-26,SSEBop,1.4
2024-07-25,SSEBop,1.4
2024-07-24,SSEBop,1.5
2024-07-23,SSEBop,1.2
2024-07-22,SSEBop,1.2
2024-07-21,SSEBop,1.1
2024-07-20,SSEBop,1.1
2024-07-19,SSEBop,1.2
2024-07-18,SSEBop,1.0
2024-07-17,SSEBop,1.2
2024-07-16,SSEBop,1.1
2024-07-15,SSEBop,1.0
2024-07-14,SSEBop,1.1
2024-07-13,SSEBop,1.1
2024-07-12,SSEBop,1.0
